regiao;ano;mort_inf;baixo_peso;mort_mat;Intern_inf_CRA;ace_agua;ace_esgot_sanit;ace_ban;pop_fav_nao_urb;ace_energia;adens_hab_exce;tx_homic;roubos_rua;alfabet;quali_ens_fund_ini;quali_ens_fund_fin;ab_ens_med;ace_cel_fix;ace_int;mort_doe_cro;Incid_dengue;mort_tub_e_HIV;coleta_sel_lixo;degrad_area_verd;mob_urb;hom_acao_pol;t_medio_desloc;part_polit;grav_adolesc;trab_inf;idc_ace_cult;viol_contra_m;hom_jov_neg;vuln_fam;pess_com_ens_sup;neg_e_ind_com_ens_sup;freq_ens_sup
RIO DE JANEIRO;2020;2.79;0.09;80.63;8.96;0.98;0.90;0.99;0.14;0.94;0.06;18.75;9.31;0.48;5.79;5.44;12.10;0.96;0.51;236.65;284.11;13.51;0.02;0.01;0.58;11.10;28.83;0.25;0.12;3.77;30.16;270.94;4.96;0.02;0.21;0.10;0.28
PORTUARIA;2020;4.46;0.10;0.00;6.16;1.00;0.94;0.94;0.04;0.91;0.10;35.11;24.12;0.51;5.50;5.47;16.17;0.93;0.32;378.85;245.17;24.66;0.00;0.00;0.59;14.11;42.94;0.28;0.18;0.00;14.89;405.72;12.14;0.05;0.04;0.02;0.10
CENTRO;2020;3.16;0.10;90.99;14.30;1.00;0.92;0.92;0.00;0.97;0.04;30.97;31.17;0.41;5.77;5.17;6.10;0.97;0.51;304.64;201.87;21.88;0.01;-0.01;0.89;9.55;31.04;0.30;0.10;3.67;92.44;653.18;13.15;0.01;0.24;0.18;0.39
RIO COMPRIDO;2020;2.36;0.10;31.55;5.07;0.99;0.93;0.96;0.09;0.91;0.08;35.45;12.52;0.68;5.70;4.88;11.02;0.95;0.46;263.71;380.12;20.26;0.04;-0.03;0.65;22.62;23.25;0.28;0.13;2.08;17.89;315.29;7.60;0.02;0.15;0.07;0.22
BOTAFOGO;2020;1.05;0.08;33.11;2.73;1.00;0.99;0.99;0.02;0.99;0.01;4.59;11.40;0.54;6.19;5.19;3.80;1.00;0.76;170.62;69.49;7.44;0.09;-0.08;0.77;2.09;25.65;0.29;0.03;1.24;58.81;193.97;0.42;0.00;0.57;0.35;0.69
COPACABANA;2020;1.66;0.08;27.98;2.73;1.00;0.99;0.99;0.02;0.97;0.01;6.20;9.95;0.59;6.23;5.13;10.65;0.99;0.72;198.86;53.98;9.31;0.09;-0.08;0.95;2.48;24.71;0.30;0.05;1.82;32.22;225.20;0.00;0.01;0.50;0.28;0.59
LAGOA;2020;3.16;0.10;0.00;8.90;1.00;0.99;1.00;0.03;0.99;0.02;9.54;9.17;0.56;5.77;5.33;11.26;1.00;0.80;177.63;124.09;7.44;0.09;-0.04;0.67;5.96;27.60;0.29;0.04;4.35;89.05;189.03;0.60;0.01;0.58;0.19;0.66
SÃO CRISTOVÃO;2020;3.26;0.09;90.42;8.48;0.99;0.93;0.97;0.05;0.89;0.07;22.96;16.09;0.48;5.89;5.27;10.56;0.95;0.37;304.08;291.78;25.91;0.01;-0.01;0.60;14.75;28.55;0.25;0.15;9.33;7.28;327.93;6.93;0.03;0.09;0.06;0.19
TIJUCA;2020;1.81;0.09;0.00;5.50;0.97;0.96;1.00;0.01;0.97;0.02;9.50;9.84;0.48;5.63;4.98;8.44;0.99;0.71;201.00;153.60;79.74;0.02;0.00;0.83;15.52;22.18;0.27;0.07;8.38;81.97;192.34;1.98;0.01;0.46;0.25;0.62
VILA ISABEL;2020;2.06;0.09;45.03;17.95;0.99;0.99;0.99;0.10;0.93;0.02;5.04;10.00;0.48;5.98;4.67;6.03;0.99;0.68;216.86;177.41;7.92;0.04;-0.02;0.40;2.00;30.08;0.26;0.08;15.52;9.18;189.03;1.79;0.01;0.41;0.26;0.54
RAMOS;2020;2.62;0.09;61.34;14.99;1.00;0.97;0.99;0.24;0.91;0.07;26.08;8.75;0.43;5.55;4.97;11.13;0.97;0.48;279.19;215.42;22.85;0.01;-0.07;0.94;18.74;23.08;0.24;0.13;27.81;5.28;189.03;7.07;0.02;0.13;0.08;0.24
PENHA;2020;2.97;0.10;139.57;23.36;1.00;0.97;1.00;0.07;0.98;0.06;19.29;6.67;0.46;5.87;5.10;16.51;0.95;0.49;253.30;203.06;18.31;0.03;-0.05;0.80;16.15;28.08;0.25;0.13;13.21;24.30;191.23;5.65;0.02;0.13;0.09;0.21
INHAÚMA;2020;2.40;0.10;70.81;7.85;0.99;0.95;1.00;0.10;0.96;0.06;24.56;10.72;0.42;5.81;4.37;15.40;0.96;0.47;289.64;285.53;20.10;0.02;-0.01;0.94;20.10;20.05;0.24;0.12;9.81;41.20;215.86;6.70;0.02;0.14;0.11;0.29
MÉIER;2020;2.87;0.10;46.76;11.85;0.99;0.96;0.99;0.11;0.96;0.03;16.99;12.01;0.44;5.87;5.11;12.90;0.98;0.59;266.06;204.52;12.07;0.03;-0.06;0.68;16.09;28.05;0.26;0.11;4.93;32.66;224.85;5.59;0.01;0.24;0.18;0.39
IRAJA;2020;3.72;0.09;44.19;6.29;1.00;0.98;1.00;0.04;0.98;0.04;19.22;11.03;0.50;6.09;4.97;15.17;0.97;0.54;256.65;175.40;13.30;0.03;0.00;0.72;10.84;31.39;0.24;0.09;4.85;49.82;207.93;4.93;0.01;0.18;0.13;0.37
MADUREIRA;2020;3.67;0.10;85.16;11.49;0.99;0.92;0.99;0.08;0.96;0.06;24.46;15.67;0.43;5.72;4.60;13.53;0.96;0.47;270.73;263.26;13.44;0.01;-0.03;0.76;12.90;33.83;0.25;0.14;3.68;20.19;359.71;5.65;0.02;0.12;0.09;0.25
